PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,Ali Khan,male,22.0,1,0,7.25,S
2,1,1,Sara Ahmed,female,38.0,1,0,71.28,C
3,1,3,John Smith,female,,0,0,8.05,S
4,0,1,Emma Brown,female,35.0,1,0,53.1,S
5,1,2,David Lee,male,28.0,0,1,16.0,C
6,0,3,Aisha Patel,female,19.0,0,0,13.0,
7,1,1,Michael Jones,male,40.0,1,0,35.5,S
8,0,3,Fatima Noor,female,,3,1,21.07,S
9,1,2,Robert Wilson,male,30.0,0,0,15.5,C
10,0,3,Sophia Davis,female,26.0,1,0,9.8,S
11,1,1,Daniel Clark,male,45.0,0,0,80.0,C
12,1,2,Zoya Malik,female,24.0,1,2,26.0,S
13,0,3,James Taylor,male,52.0,0,0,,S
14,0,3,Mary Thomas,female,31.0,1,0,18.0,Q
15,1,1,Omar Hassan,male,,1,1,75.0,C
16,0,2,Emily Moore,female,29.0,0,0,14.5,S
17,1,1,Adam Walker,male,36.0,0,0,55.0,C
18,0,3,Hina Sheikh,female,21.0,2,1,10.0,S
19,1,2,Ryan Young,male,42.0,1,0,22.5,S
20,0,3,Maya Khan,female,27.0,0,0,7.75,Q
